rho          phi          image        mask         PSNR         SSIM         NRMSE       
100.000      0.200        5            2            45.706       0.996        0.038       
100.000      0.200        5            3            40.890       0.994        0.064       
100.000      0.200        5            4            43.152       0.993        0.047       
100.000      0.200        5            5            43.874       0.997        0.047       
100.000      0.200        5            6            46.170       0.993        0.036       
100.000      0.200        5            7            48.274       0.997        0.029       
100.000      0.200        5            8            45.181       0.997        0.041       
100.000      0.200        5            9            40.004       0.988        0.047       
100.000      0.200        5            10           43.515       0.990        0.045       
100.000      0.200        5            11           46.421       0.996        0.035       
100.000      0.200        5            12           43.474       0.995        0.048       
100.000      0.200        5            13           44.618       0.995        0.044       
100.000      0.200        5            14           48.270       0.996        0.029       
100.000      0.200        5            15           48.008       0.997        0.029       
100.000      0.200        5            16           44.993       0.995        0.042       
100.000      0.200        5            17           44.920       0.997        0.042       
100.000      0.200        5            18           48.521       0.997        0.028       
100.000      0.200        5            19           47.945       0.997        0.030       
100.000      0.200        5            20           46.994       0.995        0.033       
100.000      0.200        5            21           46.927       0.996        0.034       
100.000      0.200        5            22           46.277       0.996        0.036       
100.000      0.200        5            23           46.237       0.993        0.036       
100.000      0.200        5            24           37.920       0.992        0.070       
100.000      0.200        5            25           39.454       0.995        0.068       
100.000      0.200        5            26           45.896       0.993        0.038       
100.000      0.200        5            27           45.388       0.993        0.039       
100.000      0.200        5            28           45.091       0.995        0.041       
100.000      0.200        5            29           47.308       0.997        0.032       
100.000      0.200        5            30           46.227       0.995        0.036       
100.000      0.200        5            31           47.870       0.996        0.030       
100.000      0.200        5            32           45.013       0.995        0.042       
100.000      0.200        5            33           44.688       0.991        0.044       
100.000      0.200        5            34           44.130       0.995        0.038       
100.000      0.200        5            35           45.172       0.994        0.041       
100.000      0.200        5            36           44.987       0.995        0.042       
100.000      0.200        5            37           41.572       0.991        0.046       
100.000      0.200        5            38           45.232       0.992        0.041       
100.000      0.200        5            39           43.970       0.990        0.047       
100.000      0.200        5            40           43.801       0.991        0.044       
100.000      0.200        5            41           44.623       0.995        0.044       
100.000      0.200        6            0            45.247       0.995        0.042       
100.000      0.200        6            1            37.171       0.992        0.098       
100.000      0.200        6            2            44.667       0.995        0.045       
100.000      0.200        6            3            38.181       0.992        0.092       
100.000      0.200        6            4            43.624       0.996        0.047       
100.000      0.200        6            5            42.525       0.996        0.059       
100.000      0.200        6            6            45.894       0.995        0.040       
100.000      0.200        6            7            47.246       0.997        0.035       
100.000      0.200        6            8            43.842       0.997        0.051       
100.000      0.200        6            9            39.461       0.990        0.052       
100.000      0.200        6            10           44.463       0.994        0.042       
100.000      0.200        6            11           45.546       0.996        0.042       
100.000      0.200        6            12           42.712       0.994        0.056       
100.000      0.200        6            13           43.847       0.995        0.052       
100.000      0.200        6            14           47.471       0.997        0.034       
100.000      0.200        6            15           47.065       0.997        0.035       
100.000      0.200        6            16           44.165       0.996        0.050       
100.000      0.200        6            17           44.118       0.997        0.050       
100.000      0.200        6            18           47.783       0.997        0.033       
100.000      0.200        6            19           47.363       0.997        0.034       
100.000      0.200        6            20           46.307       0.996        0.039       
100.000      0.200        6            21           46.156       0.996        0.040       
100.000      0.200        6            22           45.665       0.995        0.042       
100.000      0.200        6            23           46.156       0.996        0.039       
100.000      0.200        6            24           37.062       0.990        0.081       
100.000      0.200        6            25           38.830       0.994        0.076       
100.000      0.200        6            26           45.787       0.995        0.041       
100.000      0.200        6            27           45.392       0.996        0.042       
100.000      0.200        6            28           44.465       0.995        0.047       
100.000      0.200        6            29           46.986       0.997        0.036       
100.000      0.200        6            30           45.470       0.995        0.042       
100.000      0.200        6            31           47.335       0.996        0.035       
100.000      0.200        6            32           44.568       0.995        0.048       
100.000      0.200        6            33           44.848       0.992        0.046       
100.000      0.200        6            34           44.146       0.997        0.040       
100.000      0.200        6            35           45.349       0.996        0.043       
100.000      0.200        6            36           45.187       0.995        0.044       
100.000      0.200        6            37           41.493       0.994        0.048       
100.000      0.200        6            38           45.738       0.995        0.041       
100.000      0.200        6            39           44.719       0.993        0.046       
100.000      0.200        6            40           44.997       0.995        0.041       
100.000      0.200        6            41           43.724       0.995        0.052       
100.000      0.200        7            0            45.942       0.995        0.043       
100.000      0.200        7            1            37.871       0.993        0.098       
100.000      0.200        7            2            45.088       0.995        0.048       
100.000      0.200        7            3            40.571       0.994        0.077       
100.000      0.200        7            4            43.307       0.992        0.053       
100.000      0.200        7            5            44.093       0.997        0.055       
100.000      0.200        7            6            46.491       0.993        0.041       
100.000      0.200        7            7            49.247       0.997        0.031       
100.000      0.200        7            8            45.736       0.997        0.046       
100.000      0.200        7            9            38.417       0.981        0.060       
100.000      0.200        7            10           44.740       0.992        0.044       
100.000      0.200        7            11           46.048       0.995        0.044       
100.000      0.200        7            12           42.975       0.996        0.059       
100.000      0.200        7            13           44.227       0.995        0.055       
100.000      0.200        7            14           49.617       0.997        0.030       
100.000      0.200        7            15           48.450       0.997        0.033       
100.000      0.200        7            16           45.352       0.995        0.048       
100.000      0.200        7            17           45.429       0.997        0.048       
100.000      0.200        7            18           49.659       0.998        0.029       
100.000      0.200        7            19           48.449       0.997        0.034       
100.000      0.200        7            20           47.229       0.995        0.039       
100.000      0.200        7            21           47.464       0.996        0.038       
100.000      0.200        7            22           46.586       0.995        0.041       
100.000      0.200        7            23           47.009       0.994        0.039       
100.000      0.200        7            24           36.951       0.989        0.086       
100.000      0.200        7            25           38.426       0.993        0.085       
100.000      0.200        7            26           45.409       0.990        0.047       
100.000      0.200        7            27           45.807       0.994        0.044       
100.000      0.200        7            28           45.379       0.996        0.047       
100.000      0.200        7            29           48.199       0.997        0.035       
100.000      0.200        7            30           47.038       0.996        0.039       
100.000      0.200        7            31           47.935       0.994        0.036       
100.000      0.200        7            32           45.438       0.995        0.048       
100.000      0.200        7            33           45.374       0.992        0.048       
100.000      0.200        7            34           43.687       0.995        0.045       
100.000      0.200        7            35           45.647       0.995        0.046       
100.000      0.200        7            36           45.280       0.994        0.048       
100.000      0.200        7            37           40.563       0.987        0.056       
100.000      0.200        7            38           45.662       0.992        0.046       
100.000      0.200        7            39           44.062       0.988        0.055       
100.000      0.200        7            40           44.526       0.992        0.047       
100.000      0.200        7            41           45.078       0.996        0.049       
100.000      0.200        8            0            44.468       0.993        0.052       
100.000      0.200        8            1            36.498       0.989        0.116       
100.000      0.200        8            2            43.696       0.994        0.057       
100.000      0.200        8            3            39.346       0.988        0.090       
100.000      0.200        8            4            43.518       0.994        0.053       
100.000      0.200        8            5            42.191       0.992        0.069       
100.000      0.200        8            6            45.092       0.991        0.050       
100.000      0.200        8            7            46.645       0.995        0.043       
100.000      0.200        8            8            44.648       0.996        0.053       
100.000      0.200        8            9            39.181       0.968        0.055       
100.000      0.200        8            10           43.981       0.988        0.049       
100.000      0.200        8            11           44.492       0.992        0.053       
100.000      0.200        8            12           41.011       0.993        0.076       
100.000      0.200        8            13           43.792       0.993        0.059       
100.000      0.200        8            14           47.255       0.995        0.040       
100.000      0.200        8            15           46.382       0.995        0.043       
100.000      0.200        8            16           42.964       0.986        0.064       
100.000      0.200        8            17           43.923       0.995        0.058       
100.000      0.200        8            18           47.618       0.996        0.038       
100.000      0.200        8            19           46.512       0.994        0.043       
100.000      0.200        8            20           45.237       0.992        0.049       
100.000      0.200        8            21           44.787       0.989        0.052       
100.000      0.200        8            22           44.525       0.989        0.053       
100.000      0.200        8            23           45.330       0.992        0.049       
100.000      0.200        8            24           36.091       0.977        0.095       
100.000      0.200        8            25           37.540       0.990        0.095       
100.000      0.200        8            26           44.179       0.986        0.055       
100.000      0.200        8            27           44.827       0.993        0.050       
100.000      0.200        8            28           43.583       0.990        0.058       
100.000      0.200        8            29           46.447       0.996        0.043       
100.000      0.200        8            30           44.344       0.989        0.054       
100.000      0.200        8            31           46.269       0.992        0.044       
100.000      0.200        8            32           43.748       0.994        0.059       
100.000      0.200        8            33           44.349       0.992        0.055       
100.000      0.200        8            34           43.867       0.994        0.045       
100.000      0.200        8            35           44.062       0.993        0.056       
100.000      0.200        8            36           43.597       0.990        0.059       
100.000      0.200        8            37           40.526       0.981        0.057       
100.000      0.200        8            38           44.183       0.990        0.056       
100.000      0.200        8            39           42.963       0.986        0.064       
100.000      0.200        8            40           44.188       0.990        0.049       
100.000      0.200        8            41           43.663       0.992        0.059       
100.000      0.200        9            0            46.733       0.997        0.036       
100.000      0.200        9            1            38.143       0.995        0.088       
100.000      0.200        9            2            46.205       0.997        0.038       
100.000      0.200        9            3            40.958       0.996        0.068       
100.000      0.200        9            4            44.365       0.996        0.044       
100.000      0.200        9            5            43.912       0.997        0.051       
100.000      0.200        9            6            47.116       0.995        0.035       
100.000      0.200        9            7            49.067       0.998        0.029       
100.000      0.200        9            8            45.568       0.998        0.042       
100.000      0.200        9            9            41.318       0.994        0.042       
100.000      0.200        9            10           45.177       0.995        0.039       
100.000      0.200        9            11           47.135       0.997        0.035       
100.000      0.200        9            12           43.792       0.997        0.050       
100.000      0.200        9            13           44.948       0.997        0.046       
100.000      0.200        9            14           49.117       0.997        0.029       
100.000      0.200        9            15           48.847       0.998        0.029       
100.000      0.200        9            16           45.556       0.997        0.043       
100.000      0.200        9            17           45.295       0.997        0.044       
100.000      0.200        9            18           49.354       0.998        0.028       
100.000      0.200        9            19           48.623       0.998        0.030       
100.000      0.200        9            20           47.711       0.997        0.033       
100.000      0.200        9            21           47.695       0.997        0.033       
100.000      0.200        9            22           46.863       0.997        0.036       
100.000      0.200        9            23           47.032       0.995        0.036       
100.000      0.200        9            24           37.918       0.995        0.073       
100.000      0.200        9            25           39.348       0.996        0.072       
100.000      0.200        9            26           46.541       0.996        0.038       
100.000      0.200        9            27           45.548       0.994        0.042       
100.000      0.200        9            28           45.514       0.997        0.042       
100.000      0.200        9            29           48.089       0.997        0.032       
100.000      0.200        9            30           46.862       0.996        0.036       
100.000      0.200        9            31           48.697       0.997        0.030       
100.000      0.200        9            32           45.341       0.996        0.044       
100.000      0.200        9            33           45.395       0.992        0.044       
100.000      0.200        9            34           44.930       0.997        0.037       
100.000      0.200        9            35           45.992       0.996        0.040       
100.000      0.200        9            36           45.911       0.997        0.040       
100.000      0.200        9            37           42.572       0.995        0.043       
100.000      0.200        9            38           46.419       0.996        0.039       
100.000      0.200        9            39           45.360       0.995        0.043       
100.000      0.200        9            40           45.375       0.995        0.039       
100.000      0.200        9            41           45.072       0.996        0.045       
100.000      0.200        10           0            46.346       0.997        0.036       
100.000      0.200        10           1            37.869       0.995        0.087       
100.000      0.200        10           2            45.612       0.997        0.039       
100.000      0.200        10           3            40.359       0.996        0.069       
100.000      0.200        10           4            44.552       0.997        0.041       
100.000      0.200        10           5            43.833       0.997        0.048       
100.000      0.200        10           6            46.277       0.995        0.037       
100.000      0.200        10           7            48.232       0.998        0.030       
100.000      0.200        10           8            45.169       0.998        0.042       
100.000      0.200        10           9            40.702       0.994        0.044       
100.000      0.200        10           10           45.090       0.995        0.038       
100.000      0.200        10           11           46.288       0.997        0.037       
100.000      0.200        10           12           43.081       0.996        0.051       
100.000      0.200        10           13           44.647       0.997        0.045       
100.000      0.200        10           14           48.514       0.997        0.029       
100.000      0.200        10           15           48.186       0.998        0.029       
100.000      0.200        10           16           45.085       0.996        0.042       
100.000      0.200        10           17           45.040       0.997        0.043       
100.000      0.200        10           18           48.773       0.998        0.028       
100.000      0.200        10           19           48.084       0.998        0.030       
100.000      0.200        10           20           47.257       0.997        0.033       
100.000      0.200        10           21           46.641       0.997        0.036       
100.000      0.200        10           22           46.269       0.997        0.037       
100.000      0.200        10           23           46.651       0.995        0.035       
100.000      0.200        10           24           37.582       0.994        0.074       
100.000      0.200        10           25           39.178       0.996        0.071       
100.000      0.200        10           26           46.291       0.996        0.036       
100.000      0.200        10           27           45.372       0.994        0.040       
100.000      0.200        10           28           44.996       0.997        0.042       
100.000      0.200        10           29           47.638       0.998        0.032       
100.000      0.200        10           30           46.252       0.997        0.037       
100.000      0.200        10           31           48.051       0.997        0.030       
100.000      0.200        10           32           45.012       0.995        0.043       
100.000      0.200        10           33           45.108       0.992        0.042       
100.000      0.200        10           34           44.515       0.997        0.037       
100.000      0.200        10           35           45.423       0.997        0.040       
100.000      0.200        10           36           45.301       0.996        0.041       
100.000      0.200        10           37           41.714       0.995        0.046       
100.000      0.200        10           38           45.609       0.996        0.040       
100.000      0.200        10           39           44.303       0.994        0.046       
100.000      0.200        10           40           45.146       0.995        0.038       
100.000      0.200        10           41           44.507       0.996        0.045       
100.000      0.200        11           0            46.743       0.997        0.032       
100.000      0.200        11           1            37.700       0.993        0.085       
100.000      0.200        11           2            46.126       0.997        0.035       
100.000      0.200        11           3            40.852       0.995        0.062       
100.000      0.200        11           4            41.741       0.994        0.054       
100.000      0.200        11           5            43.937       0.997        0.045       
100.000      0.200        11           6            46.812       0.994        0.033       
100.000      0.200        11           7            48.668       0.997        0.027       
100.000      0.200        11           8            45.422       0.997        0.038       
100.000      0.200        11           9            41.258       0.991        0.040       
100.000      0.200        11           10           43.315       0.991        0.044       
100.000      0.200        11           11           46.826       0.997        0.033       
100.000      0.200        11           12           43.117       0.996        0.048       
100.000      0.200        11           13           44.901       0.996        0.041       
100.000      0.200        11           14           48.794       0.997        0.026       
100.000      0.200        11           15           48.313       0.997        0.027       
100.000      0.200        11           16           45.354       0.996        0.039       
100.000      0.200        11           17           45.219       0.997        0.040       
100.000      0.200        11           18           48.975       0.998        0.026       
100.000      0.200        11           19           48.390       0.997        0.027       
100.000      0.200        11           20           47.710       0.997        0.030       
100.000      0.200        11           21           47.427       0.996        0.031       
100.000      0.200        11           22           46.985       0.997        0.032       
100.000      0.200        11           23           45.966       0.994        0.036       
100.000      0.200        11           24           37.895       0.994        0.069       
100.000      0.200        11           25           39.335       0.996        0.067       
100.000      0.200        11           26           46.417       0.996        0.034       
100.000      0.200        11           27           44.740       0.992        0.041       
100.000      0.200        11           28           45.412       0.996        0.038       
100.000      0.200        11           29           47.657       0.997        0.030       
100.000      0.200        11           30           46.332       0.995        0.035       
100.000      0.200        11           31           48.534       0.997        0.027       
